timestamp_local,timestamp_device,node,state,set,ax,ay,az,gx,gy,gz
1773907196.631464,1263305,NODE_A1,REC,1,0.955,-0.018,0.451,-15.8,-44.8,13.8
1773907196.631464,1263306,NODE_A1,REC,1,0.955,-0.018,0.451,-15.8,-44.8,13.8
1773907196.631464,1263332,NODE_A1,REC,1,0.970,-0.033,0.450,-12.8,-46.3,15.7
1773907196.661076,1263335,NODE_A1,REC,1,0.849,-0.067,0.425,-26.9,-30.5,10.0
1773907196.661076,1263337,NODE_A1,REC,1,0.849,-0.067,0.425,-26.9,-30.5,10.0
1773907196.661076,1263362,NODE_A1,REC,1,0.880,-0.069,0.446,-29.4,-29.9,10.4
1773907196.690078,1263365,NODE_A1,REC,1,0.915,0.027,0.441,-31.6,-22.2,8.0
1773907196.690078,1263368,NODE_A1,REC,1,0.973,-0.075,0.528,-36.1,-23.6,6.7
1773907196.690078,1263392,NODE_A1,REC,1,0.973,-0.075,0.528,-36.1,-23.6,6.7
1773907196.720233,1263395,NODE_A1,REC,1,0.942,-0.140,0.509,-12.8,0.9,-3.7
1773907196.720233,1263397,NODE_A1,REC,1,0.942,-0.140,0.509,-12.8,0.9,-3.7
1773907196.720233,1263421,NODE_A1,REC,1,0.953,-0.113,0.477,-6.4,6.8,-2.6
1773907196.750389,1263424,NODE_A1,REC,1,0.984,-0.063,0.461,24.6,23.3,0.1
1773907196.750389,1263426,NODE_A1,REC,1,0.984,-0.063,0.461,24.6,23.3,0.1
1773907196.750389,1263450,NODE_A1,REC,1,0.963,-0.060,0.443,28.6,27.4,-2.4
1773907196.781300,1263453,NODE_A1,REC,1,0.803,-0.162,0.403,40.8,48.2,-17.5
1773907196.781300,1263456,NODE_A1,REC,1,0.831,-0.165,0.429,39.2,50.7,-15.6
1773907196.781300,1263478,NODE_A1,REC,1,0.831,-0.165,0.429,39.2,50.7,-15.6
1773907196.810685,1263481,NODE_A1,REC,1,0.958,-0.034,0.500,14.0,52.6,7.5
1773907196.810685,1263484,NODE_A1,REC,1,0.938,-0.031,0.490,9.0,52.0,7.5
1773907196.810685,1263507,NODE_A1,REC,1,0.938,-0.031,0.490,9.0,52.0,7.5
1773907196.840239,1263510,NODE_A1,REC,1,0.888,-0.035,0.515,-14.4,33.3,-4.8
1773907196.840239,1263513,NODE_A1,REC,1,0.877,-0.048,0.515,-14.8,29.2,-5.9
1773907196.840239,1263535,NODE_A1,REC,1,0.877,-0.048,0.515,-14.8,29.2,-5.9
1773907196.870861,1263540,NODE_A1,REC,1,0.805,-0.080,0.502,-14.7,17.3,-10.9
1773907196.870861,1263541,NODE_A1,REC,1,0.805,-0.080,0.502,-14.7,17.3,-10.9
1773907196.870861,1263565,NODE_A1,REC,1,0.807,-0.077,0.489,-16.7,18.4,-10.1
1773907196.902721,1263568,NODE_A1,REC,1,0.850,-0.077,0.511,-23.3,20.0,-1.0
1773907196.902721,1263570,NODE_A1,REC,1,0.850,-0.077,0.511,-23.3,20.0,-1.0
1773907196.902721,1263594,NODE_A1,REC,1,0.857,-0.072,0.525,-25.2,22.5,1.6
1773907196.933103,1263597,NODE_A1,REC,1,0.886,-0.054,0.516,-24.1,20.6,4.8
1773907196.933103,1263598,NODE_A1,REC,1,0.886,-0.054,0.516,-24.1,20.6,4.8
1773907196.933103,1263622,NODE_A1,REC,1,0.888,-0.055,0.520,-22.7,18.3,2.6
1773907196.960197,1263625,NODE_A1,REC,1,0.873,-0.062,0.528,-11.8,15.9,-6.2
1773907196.960197,1263628,NODE_A1,REC,1,0.877,-0.055,0.530,-10.6,14.8,-7.6
1773907196.960197,1263650,NODE_A1,REC,1,0.877,-0.055,0.530,-10.6,14.8,-7.6
1773907196.990556,1263653,NODE_A1,REC,1,0.846,-0.058,0.527,-2.0,8.3,-20.2
1773907196.990556,1263654,NODE_A1,REC,1,0.846,-0.058,0.527,-2.0,8.3,-20.2
1773907196.990556,1263677,NODE_A1,REC,1,0.836,-0.087,0.493,-0.3,8.1,-22.5
